iter	RMSE
0	9.036153543
1	8.668873031
2	8.34317517
3	8.041311057
4	7.775017077
5	7.541062763
6	7.342489644
7	7.17734959
8	6.993406052
9	6.855824747
10	6.734688354
11	6.640081765
12	6.531033372
13	6.420171258
14	6.335152826
15	6.268309919
16	6.174930688
17	6.123987498
18	6.08107072
19	6.017479691
20	5.959412363
21	5.887387195
22	5.82106644
23	5.750777933
24	5.698325595
25	5.666986787
26	5.639098666
27	5.60561231
28	5.575377085
29	5.547320009
30	5.518860813
31	5.503431322
32	5.462155669
33	5.399445275
34	5.375294605
35	5.333306547
36	5.318449644
37	5.300014936
38	5.268310922
39	5.238572275
40	5.18804494
41	5.155627099
42	5.132451684
43	5.105630474
44	5.094387196
45	5.083153126
46	5.058221328
47	5.030420373
48	5.011400594
49	4.985530088
50	4.96770605
51	4.949525344
52	4.918600459
53	4.90542675
54	4.8894038
55	4.87285725
56	4.838937657
57	4.821911964
58	4.803936237
59	4.791358374
60	4.769006251
61	4.756895846
62	4.74842633
63	4.725684198
64	4.711737842
65	4.701693326
66	4.678287497
67	4.669193869
68	4.647500205
69	4.630198678
70	4.614077553
71	4.602177371
72	4.589651868
73	4.576349659
74	4.555675763
75	4.538999249
76	4.515196128
77	4.501907033
78	4.490887107
79	4.460534805
80	4.427383696
81	4.419723171
82	4.405226984
83	4.381818396
84	4.370990461
85	4.351717258
86	4.342818367
87	4.324237974
88	4.305351772
89	4.297479319
90	4.28887303
91	4.2681616
92	4.25238702
93	4.239766031
94	4.220875696
95	4.211597002
96	4.198324174
97	4.183452761
98	4.169750641
99	4.154196743
100	4.141478482
101	4.128238842
102	4.111118362
103	4.102057861
104	4.088281816
105	4.084639838
106	4.068600911
107	4.060009013
108	4.052889866
109	4.029554671
110	4.014238524
111	4.011623092
112	3.997035592
113	3.981548627
114	3.96239563
115	3.949474805
116	3.940882843
117	3.921647684
118	3.901450623
119	3.893897941
120	3.891291325
121	3.879327938
122	3.871614182
123	3.86442472
124	3.848872741
125	3.840831354
126	3.831388342
127	3.824800949
128	3.81437417
129	3.801615464
130	3.78731482
131	3.777244543
132	3.765004739
133	3.753858046
134	3.743003992
135	3.730000977
136	3.726780573
137	3.713799253
138	3.703426192
139	3.684440187
140	3.681489274
141	3.673277227
142	3.669598445
143	3.65751939
144	3.649240642
145	3.631929509
146	3.624270914
147	3.612672347
148	3.602777107
149	3.587176538
150	3.574778928
151	3.559516245
152	3.550129475
153	3.547535135
154	3.539291939
155	3.531787325
156	3.521746399
157	3.51109274
158	3.5060455
159	3.495595173
160	3.493310468
161	3.481525682
162	3.472588991
163	3.453279824
164	3.444104899
165	3.432430134
166	3.424975793
167	3.417853869
168	3.410319053
169	3.400543884
170	3.392912532
171	3.386009569
172	3.380222176
173	3.372175657
174	3.361232533
175	3.349875868
176	3.340755815
177	3.338804607
178	3.332942399
179	3.326108457
180	3.316808997
181	3.312349275
182	3.307744585
183	3.304255615
184	3.300962596
185	3.294045055
186	3.283998154
187	3.273656372
188	3.26462291
189	3.258081777
190	3.246584793
191	3.242132531
192	3.230434596
193	3.218439751
194	3.214284817
195	3.206899647
196	3.194863606
197	3.191128009
198	3.188680699
199	3.184000598
200	3.175398647
201	3.173297344
202	3.161531705
203	3.151433403
204	3.141314061
205	3.139004787
206	3.131547474
207	3.119096091
208	3.115701321
209	3.1113841
210	3.099224861
211	3.089962254
212	3.086237698
213	3.084105673
214	3.080317081
215	3.074810532
216	3.067247116
217	3.06137196
218	3.055636287
219	3.052222306
220	3.048293823
221	3.03827956
222	3.033813185
223	3.0300053
224	3.025921028
225	3.024208088
226	3.02179971
227	3.016326568
228	3.014349226
229	3.009232142
230	3.005137536
231	2.997237365
232	2.982754758
233	2.981737642
234	2.97432052
235	2.971411037
236	2.959703663
237	2.951880377
238	2.94459376
239	2.938152307
240	2.934971495
241	2.934257375
242	2.9301117
243	2.923496589
244	2.919257105
245	2.916340274
246	2.913067057
247	2.907846376
248	2.89824031
249	2.892927771
250	2.892585427
251	2.887002015
252	2.884355734
253	2.872171938
254	2.867062919
255	2.858242155
256	2.849814775
257	2.843278718
258	2.832266088
259	2.825663287
260	2.819882764
261	2.811698436
262	2.80290254
263	2.795055092
264	2.789427892
265	2.784029948
266	2.774160681
267	2.769393721
268	2.76277447
269	2.762321155
270	2.756618229
271	2.75541961
272	2.753654302
273	2.74519912
274	2.738185846
275	2.734729493
276	2.731017376
277	2.726974683
278	2.723398448
279	2.717277813
280	2.710841698
281	2.705939121
282	2.700905337
283	2.696130871
284	2.692608216
285	2.68212052
286	2.680600088
287	2.679263289
288	2.673899766
289	2.667867737
290	2.663212791
291	2.657780175
292	2.652344995
293	2.645989752
294	2.63947838
295	2.63597718
296	2.626902766
297	2.62147517
298	2.615028401
299	2.610032957
300	2.608564964
301	2.604996022
302	2.60157241
303	2.594982081
304	2.591943953
305	2.588400462
306	2.587144973
307	2.581324717
308	2.578863442
309	2.577779226
310	2.57596034
311	2.569355754
312	2.561187012
313	2.556693832
314	2.556411492
315	2.548319256
316	2.541849246
317	2.539516711
318	2.532547944
319	2.531849953
320	2.528307702
321	2.523387425
322	2.516908582
323	2.507806043
324	2.507444979
325	2.505103746
326	2.498631084
327	2.49260297
328	2.491211824
329	2.48654295
330	2.481561618
331	2.478504281
332	2.472485574
333	2.466607919
334	2.459367229
335	2.454086225
336	2.452506212
337	2.449672541
338	2.44095264
339	2.433988276
340	2.428883223
341	2.422950881
342	2.416672713
343	2.41103508
344	2.404718482
345	2.400241208
346	2.398076153
347	2.396304914
348	2.391456755
349	2.386204768
350	2.379984072
351	2.377640785
352	2.370746541
353	2.363879339
354	2.359675921
355	2.358765606
356	2.352316309
357	2.346480209
358	2.340361311
359	2.338517153
360	2.335484526
361	2.330121616
362	2.327001794
363	2.323394648
364	2.321620381
365	2.319358368
366	2.318569676
367	2.313506298
368	2.307490148
369	2.306666313
370	2.306356339
371	2.302960098
372	2.296277397
373	2.295977062
374	2.292591363
375	2.287413824
376	2.286651144
377	2.284736285
378	2.281648688
379	2.27628184
380	2.271459144
381	2.268688827
382	2.265501141
383	2.264317913
384	2.256921366
385	2.252896251
386	2.250036815
387	2.244404877
388	2.240222577
389	2.235402169
390	2.234286106
391	2.230358897
392	2.225460703
393	2.214798054
394	2.209546686
395	2.204426748
396	2.202452351
397	2.199491269
398	2.195975272
399	2.192710867
400	2.187103758
401	2.18428259
402	2.181281423
403	2.18080156
404	2.175447787
405	2.174014962
406	2.170746726
407	2.167683264
408	2.16745718
409	2.165707445
410	2.164708118
411	2.159783847
412	2.15628541
413	2.156037864
414	2.152747158
415	2.149641289
416	2.144449381
417	2.143079067
418	2.139107522
419	2.134818227
420	2.12821858
421	2.124332595
422	2.118772003
423	2.112984767
424	2.106288119
425	2.102333024
426	2.101141292
427	2.098611183
428	2.094115666
429	2.088768558
430	2.084530199
431	2.081374644
432	2.07849148
433	2.075252158
434	2.069390004
435	2.066483546
436	2.063130749
437	2.059367746
438	2.054504675
439	2.054253787
440	2.053331282
441	2.048932782
442	2.0479646
443	2.043864903
444	2.041601988
445	2.038947713
446	2.035437754
447	2.031555036
448	2.029860683
449	2.025560496
450	2.022904728
451	2.018251629
452	2.018018186
453	2.016124399
454	2.012437154
455	2.010477812
456	2.00774882
457	2.005970146
458	2.003990761
459	2.000652832
460	1.996964718
461	1.99191857
462	1.991284739
463	1.990140928
464	1.987789085
465	1.983570661
466	1.97863876
467	1.974417695
468	1.971940483
469	1.969928239
470	1.964832381
471	1.963977535
472	1.960850102
473	1.958876588
474	1.957074503
475	1.953347294
476	1.952457064
477	1.952001745
478	1.949680835
479	1.947870075
480	1.946108737
481	1.941863781
482	1.938972949
483	1.936908076
484	1.935225538
485	1.934372873
486	1.932833831
487	1.92962841
488	1.92429351
489	1.922647945
490	1.919192443
491	1.914059219
492	1.90868424
493	1.905368774
494	1.902267152
495	1.901277693
496	1.899898165
497	1.896920903
498	1.896360624
499	1.895695918
500	1.894103814
501	1.889930691
502	1.888359615
503	1.885938286
504	1.882262836
505	1.882049969
506	1.879368721
507	1.876933134
508	1.87549681
509	1.873233704
510	1.868840285
511	1.866201261
512	1.862157913
513	1.860869383
514	1.859026292
515	1.858576478
516	1.855418408
517	1.853830619
518	1.850800579
519	1.847924024
520	1.843787353
521	1.841071617
522	1.840360039
523	1.836346184
524	1.83375028
525	1.829494746
526	1.828631572
527	1.824594304
528	1.821192226
529	1.819207671
530	1.816920283
531	1.815439248
532	1.811352032
533	1.809379179
534	1.806669946
535	1.805061175
536	1.799858374
537	1.797109959
538	1.793368541
539	1.79196333
540	1.789264699
541	1.787600623
542	1.783176915
543	1.779177232
544	1.77853941
545	1.776724378
546	1.774820043
547	1.771189544
548	1.768868687
549	1.763413049
550	1.761154423
551	1.760545747
552	1.758942911
553	1.75669399
554	1.752847332
555	1.750185988
556	1.746646239
557	1.745411576
558	1.743645421
559	1.742988893
560	1.740947497
561	1.738269902
