iter	Passed	Remaining
0	141	141360
1	150	75299
2	158	52789
3	170	42476
4	182	36378
5	192	31901
6	215	30507
7	250	31013
8	269	29667
9	277	27506
10	292	26342
11	309	25474
12	320	24325
13	329	23188
14	353	23198
15	362	22280
16	372	21539
17	379	20698
18	387	19986
19	394	19308
20	404	18876
21	413	18387
22	422	17928
23	431	17540
24	439	17154
25	449	16847
26	458	16515
27	466	16210
28	477	15978
29	486	15716
30	498	15585
31	510	15446
32	519	15220
33	528	15017
34	537	14813
35	545	14608
36	553	14409
37	562	14233
38	573	14138
39	582	13972
40	591	13846
41	607	13847
42	646	14381
43	669	14543
44	681	14453
45	699	14504
46	715	14499
47	731	14514
48	746	14487
49	757	14391
50	768	14296
51	778	14195
52	791	14141
53	801	14040
54	812	13961
55	822	13858
56	829	13718
57	836	13587
58	844	13464
59	853	13368
60	861	13257
61	875	13239
62	884	13162
63	893	13074
64	903	12993
65	912	12912
66	919	12799
67	926	12699
68	935	12625
69	943	12536
70	950	12437
71	957	12346
72	966	12267
73	974	12199
74	982	12121
75	990	12042
76	997	11957
77	1005	11881
78	1012	11806
79	1021	11746
80	1029	11679
81	1037	11610
82	1044	11542
83	1053	11482
84	1061	11422
85	1069	11365
86	1077	11308
87	1086	11255
88	1095	11208
89	1116	11289
90	1142	11413
91	1155	11406
92	1166	11373
93	1176	11344
94	1187	11310
95	1197	11281
96	1210	11270
97	1225	11280
98	1238	11269
99	1252	11273
100	1262	11241
101	1278	11256
102	1287	11208
103	1295	11161
104	1305	11129
105	1312	11071
106	1320	11023
107	1330	10991
108	1340	10955
109	1347	10901
110	1354	10849
111	1361	10796
112	1369	10749
113	1377	10704
114	1384	10651
115	1391	10604
116	1398	10552
117	1405	10506
118	1412	10457
119	1420	10414
120	1427	10372
121	1437	10348
122	1447	10318
123	1458	10302
124	1467	10274
125	1474	10229
126	1485	10214
127	1495	10185
128	1504	10155
129	1511	10112
130	1517	10069
131	1524	10024
132	1531	9981
133	1537	9938
134	1545	9902
135	1552	9862
136	1559	9821
137	1566	9783
138	1574	9754
139	1581	9716
140	1589	9681
141	1596	9644
142	1602	9603
143	1609	9565
144	1618	9541
145	1626	9516
146	1634	9484
147	1641	9449
148	1647	9410
149	1658	9397
150	1669	9389
151	1679	9368
152	1686	9335
153	1692	9299
154	1700	9268
155	1706	9235
156	1713	9203
157	1720	9170
158	1731	9160
159	1756	9222
160	1763	9192
161	1771	9161
162	1779	9138
163	1787	9109
164	1795	9084
165	1803	9061
166	1812	9041
167	1819	9012
168	1826	8983
169	1833	8952
170	1842	8931
171	1849	8902
172	1855	8871
173	1864	8850
174	1873	8833
175	1882	8813
176	1891	8792
177	1898	8766
178	1905	8739
179	1911	8709
180	1922	8699
181	1929	8671
182	1936	8646
183	1944	8624
184	1952	8602
185	1961	8583
186	1969	8563
187	1976	8538
188	1984	8516
189	1993	8498
190	2001	8479
191	2010	8462
192	2017	8436
193	2024	8412
194	2032	8392
195	2041	8372
196	2050	8356
197	2058	8338
198	2068	8324
199	2075	8301
200	2081	8275
201	2088	8252
202	2095	8228
203	2103	8207
204	2110	8185
205	2117	8163
206	2124	8139
207	2133	8124
208	2142	8107
209	2151	8093
210	2157	8069
211	2165	8047
212	2171	8023
213	2181	8010
214	2189	7995
215	2197	7975
216	2204	7955
217	2211	7933
218	2218	7910
219	2227	7895
220	2236	7883
221	2243	7861
222	2249	7839
223	2258	7825
224	2267	7808
225	2275	7792
226	2284	7778
227	2292	7762
228	2301	7748
229	2308	7727
230	2315	7708
231	2322	7689
232	2331	7673
233	2338	7656
234	2345	7635
235	2352	7614
236	2359	7594
237	2367	7579
238	2373	7558
239	2381	7540
240	2388	7522
241	2395	7504
242	2402	7484
243	2411	7471
244	2418	7454
245	2426	7437
246	2434	7422
247	2443	7410
248	2451	7392
249	2460	7380
250	2469	7368
251	2477	7354
252	2487	7344
253	2497	7336
254	2506	7323
255	2513	7306
256	2523	7296
257	2535	7290
258	2545	7281
259	2554	7270
260	2563	7258
261	2574	7252
262	2590	7258
263	2600	7251
264	2610	7239
265	2619	7227
266	2638	7243
267	2655	7254
268	2670	7256
269	2680	7246
270	2693	7245
271	2705	7240
272	2715	7231
273	2726	7223
274	2737	7217
275	2745	7201
276	2754	7189
277	2760	7170
278	2769	7156
279	2776	7138
280	2782	7119
281	2789	7102
282	2797	7087
283	2806	7075
284	2814	7060
285	2822	7047
286	2832	7036
287	2840	7022
288	2848	7008
289	2857	6995
290	2865	6981
291	2873	6966
292	2881	6952
293	2889	6939
294	2897	6924
295	2908	6917
296	2915	6901
297	2924	6888
298	2932	6874
299	2940	6861
300	2947	6844
301	2956	6832
302	2963	6815
303	2970	6800
304	2976	6783
305	2983	6767
306	2990	6751
307	2998	6736
308	3004	6719
309	3011	6702
310	3018	6687
311	3025	6671
312	3032	6656
313	3039	6640
314	3046	6624
315	3053	6609
316	3060	6594
317	3067	6578
318	3073	6562
319	3080	6547
320	3087	6531
321	3094	6516
322	3101	6501
323	3109	6487
324	3116	6471
325	3123	6456
326	3129	6441
327	3136	6425
328	3143	6410
329	3149	6395
330	3157	6381
331	3163	6365
332	3170	6350
333	3178	6337
334	3185	6322
335	3191	6307
336	3198	6292
337	3204	6276
338	3211	6262
339	3220	6251
340	3227	6238
341	3236	6227
342	3243	6212
343	3250	6198
344	3257	6184
345	3264	6170
346	3271	6156
347	3278	6143
348	3285	6128
349	3292	6114
350	3299	6100
351	3305	6085
352	3312	6071
353	3319	6057
354	3327	6045
355	3333	6030
356	3340	6017
357	3347	6003
358	3354	5989
359	3361	5975
360	3368	5962
361	3375	5948
362	3382	5935
363	3389	5921
364	3396	5908
365	3403	5894
366	3409	5880
367	3417	5868
368	3423	5854
369	3430	5841
370	3438	5830
371	3447	5819
372	3453	5805
373	3460	5792
374	3467	5778
375	3473	5764
376	3480	5752
377	3487	5738
378	3495	5726
379	3501	5713
380	3508	5700
381	3514	5686
382	3522	5674
383	3530	5663
384	3539	5653
385	3545	5640
386	3553	5628
